ra,dec,wid,hei,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,score,GLON,GLAT,reff
98.5785983337059,7.75966639365819,3.82003565613104,3.76091017352142,98.6104341530385,7.79098032053971,98.6104048376677,7.72832553043599,98.5467874520144,7.79100736666135,98.546766892103,7.72835235699572,0.371129810810089,204.0794006719396,-0.24406119790378272,1.8951788149379072
97.7938798382848,10.4559389678496,5.09551635078537,4.91791854414533,97.8363473669906,10.4968214795004,97.8362503351489,10.4149565117081,97.7514995565221,10.4969218207772,97.7514220944775,10.4150560594126,0.936196208000183,201.33000785029756,0.3136318471824626,2.502964959479213
97.7436369655138,9.94132372109881,28.611252405066,27.5745649532976,97.9822493549963,10.1692288642332,97.9798163136673,9.7115576855522,97.5070870451464,10.1711337681072,97.5053951482452,9.71337456650265,0.980362057685852,201.7633245214389,0.03165172966823834,14.04406313926533
210.883973025711,-61.2524999107322,1.15200121968599,0.539483834976124,210.892982914171,-61.2480042384454,210.893574332281,-61.2567065172414,210.874374311953,-61.2482932515471,210.874960544437,-61.256995635695,0.998665928840637,311.49054404934617,0.4154612365887571,0.3941719281904059
210.645333057564,-61.0880085109831,6.38137205487283,2.99862060029241,210.698471527756,-61.0645246012578,210.695521199916,-61.1129977714761,210.595224175742,-61.0630207614713,210.592115326841,-61.1114909097273,0.996271014213562,311.4248690050134,0.6051623718584315,2.187196476192295
210.10418506531,-61.0110446675703,6.41663277986311,3.07177652329756,210.157616961314,-60.9873622162017,210.153780434748,-61.0366437825538,210.054669783527,-60.9854475071655,210.05067308165,-61.0347251643604,0.997675716876984,311.1930977401385,0.7494796820190216,2.2198232999388186
211.848403884092,-61.3159927579196,13.6312987156879,6.38554314390262,211.961809581129,-61.2640472162316,211.959606475289,-61.3692070013716,211.737578210749,-61.2627812823066,211.734621269201,-61.3679355317687,0.996673941612244,311.9171110292967,0.22365410495234833,4.664848498516577
211.128958674762,-61.4017666921163,4.05713539985982,1.97584402476124,211.160338026587,-61.3853017008391,211.162784808525,-61.4171049486189,211.095165885194,-61.3864276844222,211.097545978743,-61.4182324345851,0.903655409812927,311.56210882880214,0.23946065089077487,1.4156506222811764
211.360140786914,-62.0269533224273,11.6860894526718,5.4278336413465,211.449995949756,-61.9817245869261,211.457658480498,-62.0686768417193,211.262890322954,-61.9852233801151,211.270018394447,-62.0721884809486,0.999687492847443,311.4917599649441,-0.3913397842438941,3.9821523535330896
210.561744321247,-62.0277807387994,19.5919321878614,9.09675501321601,210.715956483724,-61.9519808335898,210.725395373923,-62.0994719806011,210.398863170792,-61.9560767238633,210.406762256551,-62.1035934171434,0.999492704868317,311.13164179756893,-0.28858062780983906,6.675009500901783
210.134144766548,-62.163231434429,7.26712780354603,3.45137851682694,210.194651246839,-62.1365563819233,210.190238565444,-62.1919941309475,210.078156803795,-62.1344711556671,210.073532450113,-62.189904069178,0.998464822769165,310.9025853870134,-0.3655735324215286,2.504077114437299
211.619410257816,-61.4880627163271,3.30082609946999,1.57262567059689,211.646905920552,-61.475353151878,211.646101719963,-61.5011680363653,211.592741238519,-61.474957608522,211.591892152228,-61.5007720685432,0.991707444190979,311.76260112204966,0.09042780195711064,1.1391843417773426
